Name of cabinet,Portfolio,Name of EC representative
Johannes Hahn,Budget and Administration,Johannes Hahn
Paolo Gentiloni,Economy,Paolo Gentiloni
Maroš Šefčovič,Interinstitutional Relations and Foresight,Maroš Šefčovič
Mairead Mcguinness,"Financial services, financial stability and Capital Markets Union",Mairead McGuinness
Adina Vălean,Transport,Adina-Ioana Vălean
Janez Lenarčič,Crisis Management,Janez Lenarčič
Stella Kyriakides,Health and Food Safety,Stella Kyriakides
Margaritis Schinas,Promoting our European Way of Life,Margaritis Schinas
Josep Borrell Fontelles,A Stronger Europe in the World,Josep Borrell Fontelles
Iliana Ivanova,"Innovation, Research, Culture, Education and Youth",Iliana Ivanova
Wopke Hoekstra,Climate Action,Wopke Hoekstra
Elisa Ferreira,Cohesion and Reforms,Elisa Ferreira
Virginijus Sinkevičius,"Environment, Oceans and Fisheries",Virginijus Sinkevičius
Nicolas Schmit,Jobs and Social Rights,Nicolas Schmit
Valdis Dombrovskis,An Economy that Works for People ,Valdis Dombrovskis 
Ursula von der Leyen,President,Ursula von der Leyen
Helena Dalli,Equality,Helena Dalli
Thierry Breton,Internal Market,Thierry Breton
Kadri Simson,Energy,Kadri Simson
Janusz Wojciechowski,Agriculture,Janusz Wojciechowski
Didier Reynders,Justice,Didier Reynders
Věra Jourová,Values and Transparency,Věra Jourová
Dubravka Šuica,Democracy and Demography,Dubravka Šuica
Jutta Urpilainen,International Partnerships,Jutta Urpilainen
Olivér Várhelyi,Neighbourhood and Enlargement,Olivér Várhelyi
Ylva Johansson,Home Affairs,Ylva Johansson
Margrethe Vestager,A Europe Fit for the Digital Age,Margrethe Vestager
Frans Timmermans,European Green Deal,Frans Timmermans
Mariya Gabriel,"Innovation, Research, Culture, Education and Youth",Mariya Gabriel
Phil Hogan,Trade,Phil Hogan
